anio;mes;mes-año;provincia;rubro_A12;operaciones
2019;1;ene-19;NEUQUEN;Motocicletas; 7 
2019;1;ene-19;NEUQUEN;Motos y Bicicletas; 1.061 
2019;1;ene-19;NEUQUEN;Muebles; 836 
2019;1;ene-19;NEUQUEN;Teléfonos Celulares 4G; 194 
2019;1;ene-19;NEUQUEN;Turismo; 87 
2019;1;ene-19;RIO NEGRO;Anteojos; 391 
2019;1;ene-19;RIO NEGRO;Artículos de Librería; 33 
2019;1;ene-19;RIO NEGRO;Balnearios; 6 
2019;1;ene-19;RIO NEGRO;Bicicletas; 34 
2019;1;ene-19;RIO NEGRO;Calzado y Marroquinería; 2.140 
2019;1;ene-19;RIO NEGRO;Colchones; 625 
2019;1;ene-19;RIO NEGRO;Electrodomésticos; 1.007 
2019;1;ene-19;RIO NEGRO;Indumentaria; 11.714 
2019;1;ene-19;RIO NEGRO;Instrumentos musicales; 14 
2019;1;ene-19;RIO NEGRO;Juguetes y Juegos de mesa; 688 
2019;1;ene-19;RIO NEGRO;Libros; 5 
2019;1;ene-19;RIO NEGRO;Materiales para la construcción; 2.695 
2019;1;ene-19;RIO NEGRO;Motocicletas; 2 
2019;1;ene-19;RIO NEGRO;Motos y Bicicletas; 533 
2019;1;ene-19;RIO NEGRO;Muebles; 624 
2019;1;ene-19;RIO NEGRO;Teléfonos Celulares 4G; 51 
2019;1;ene-19;RIO NEGRO;Turismo; 207 
2019;1;ene-19;SALTA;Anteojos; 509 
2019;1;ene-19;SALTA;Artículos de Librería; 15 
2019;1;ene-19;SALTA;Balnearios; 11 
2019;1;ene-19;SALTA;Bicicletas; 100 
2019;1;ene-19;SALTA;Calzado y Marroquinería; 8.212 
2019;1;ene-19;SALTA;Colchones; 392 
2019;1;ene-19;SALTA;Electrodomésticos; 1.625 
2019;1;ene-19;SALTA;Indumentaria; 17.186 
2019;1;ene-19;SALTA;Instrumentos musicales; 23 
2019;1;ene-19;SALTA;Juguetes y Juegos de mesa; 1.114 
2019;1;ene-19;SALTA;Libros; 11 
2019;1;ene-19;SALTA;Materiales para la construcción; 1.970 
2019;1;ene-19;SALTA;Motocicletas; 1 
2019;1;ene-19;SALTA;Motos y Bicicletas; 823 
2019;1;ene-19;SALTA;Muebles; 407 
2019;1;ene-19;SALTA;Teléfonos Celulares 4G; 506 
2019;1;ene-19;SALTA;Turismo; 129 
2019;1;ene-19;SAN JUAN;Anteojos; 177 
2019;1;ene-19;SAN JUAN;Bicicletas; 130 
2019;1;ene-19;SAN JUAN;Calzado y Marroquinería; 2.750 
2019;1;ene-19;SAN JUAN;Colchones; 58 
2019;1;ene-19;SAN JUAN;Electrodomésticos; 847 
2019;1;ene-19;SAN JUAN;Indumentaria; 8.403 
2019;1;ene-19;SAN JUAN;Instrumentos musicales; 10 
2019;1;ene-19;SAN JUAN;Juguetes y Juegos de mesa; 485 
2019;1;ene-19;SAN JUAN;Libros; 3 
2019;1;ene-19;SAN JUAN;Materiales para la construcción; 869 
2019;1;ene-19;SAN JUAN;Motocicletas; 3 
2019;1;ene-19;SAN JUAN;Motos y Bicicletas; 539 
2019;1;ene-19;SAN JUAN;Muebles; 323 
2019;1;ene-19;SAN JUAN;Teléfonos Celulares 4G; 188 
2019;1;ene-19;SAN JUAN;Turismo; 196 
2019;1;ene-19;SAN LUIS;Anteojos; 487 
2019;1;ene-19;SAN LUIS;Artículos de Librería; 31 
2019;1;ene-19;SAN LUIS;Balnearios; 4 
2019;1;ene-19;SAN LUIS;Bicicletas; 50 
2019;1;ene-19;SAN LUIS;Calzado y Marroquinería; 1.949 
2019;1;ene-19;SAN LUIS;Colchones; 102 
2019;1;ene-19;SAN LUIS;Electrodomésticos; 506 
2019;1;ene-19;SAN LUIS;Indumentaria; 6.746 
2019;1;ene-19;SAN LUIS;Instrumentos musicales; 3 
2019;1;ene-19;SAN LUIS;Juguetes y Juegos de mesa; 398 
2019;1;ene-19;SAN LUIS;Libros; 17 
2019;1;ene-19;SAN LUIS;Materiales para la construcción; 1.164 
2019;1;ene-19;SAN LUIS;Motos y Bicicletas; 224 
2019;1;ene-19;SAN LUIS;Muebles; 399 
2019;1;ene-19;SAN LUIS;Teléfonos Celulares 4G; 75 
2019;1;ene-19;SAN LUIS;Turismo; 61 
2019;1;ene-19;SANTA CRUZ;Anteojos; 99 
2019;1;ene-19;SANTA CRUZ;Artículos de Librería; 52 
2019;1;ene-19;SANTA CRUZ;Balnearios; 9 
2019;1;ene-19;SANTA CRUZ;Bicicletas; 1 
2019;1;ene-19;SANTA CRUZ;Calzado y Marroquinería; 1.149 
2019;1;ene-19;SANTA CRUZ;Colchones; 9 
2019;1;ene-19;SANTA CRUZ;Electrodomésticos; 405 
2019;1;ene-19;SANTA CRUZ;Indumentaria; 3.479 
2019;1;ene-19;SANTA CRUZ;Instrumentos musicales; 4 
